epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3127.69,1.0257,0.54693,1.14264,0.9755,0.94053,0.97427,0.69631,1.12088,0.44666,1.27845,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3217.83,1.02796,0.54218,1.13933,0.97041,0.9377,0.97022,0.67979,1.12894,0.45412,1.28101,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3308.35,1.01016,0.53553,1.13391,0.96742,0.92366,0.97921,0.69911,1.11072,0.46067,1.27753,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3399.27,1.00241,0.53501,1.13352,0.96068,0.93859,0.97843,0.68365,1.14566,0.46588,1.28551,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3489.56,0.99658,0.52845,1.13021,0.96867,0.91832,0.96678,0.69235,1.12227,0.45727,1.27559,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3579.76,0.9873,0.51817,1.12114,0.97602,0.93365,0.97893,0.6955,1.12861,0.44642,1.29429,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3669.8,0.99077,0.52476,1.12674,0.97743,0.9155,0.96991,0.69338,1.12412,0.44837,1.27058,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3759.76,0.97804,0.51847,1.1186,0.97594,0.91496,0.97244,0.70079,1.10817,0.4487,1.26689,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3850.25,0.9661,0.50942,1.11382,0.96474,0.92714,0.9729,0.69667,1.10975,0.44494,1.25785,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3939.99,0.96235,0.50649,1.11116,0.96134,0.92829,0.96886,0.71529,1.10988,0.45095,1.25578,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4029.6,0.95083,0.50067,1.10524,0.97211,0.93311,0.97063,0.68831,1.1161,0.44859,1.26272,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4120.67,0.95708,0.50758,1.10993,0.9728,0.92796,0.96962,0.69697,1.10514,0.43997,1.25322,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4210.64,0.94814,0.49835,1.10589,0.96898,0.92179,0.96903,0.71697,1.09677,0.43537,1.26098,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4301.14,0.93873,0.4947,1.10294,0.95891,0.95274,0.97486,0.71007,1.10243,0.44276,1.25749,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4390.81,0.9275,0.48286,1.09558,0.96872,0.94344,0.97279,0.71509,1.09288,0.43615,1.26231,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4491.52,0.92046,0.48185,1.093,0.96674,0.92773,0.97768,0.71277,1.09692,0.44155,1.26533,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4655.89,0.922,0.48409,1.09312,0.9673,0.93975,0.97325,0.70718,1.09856,0.42894,1.27042,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4746.33,0.91176,0.47864,1.08724,0.96596,0.92526,0.97176,0.712,1.08919,0.42934,1.26446,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4836.47,0.91476,0.47641,1.08612,0.96467,0.94672,0.97298,0.71082,1.07406,0.43346,1.25509,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4927.29,0.90212,0.46769,1.08339,0.95788,0.94934,0.97347,0.72572,1.06777,0.42234,1.25212,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5017.19,0.89324,0.464,1.07659,0.97205,0.93304,0.97243,0.71417,1.07965,0.42412,1.25221,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5107.63,0.89465,0.46829,1.08053,0.95732,0.95355,0.98219,0.71613,1.07632,0.41814,1.24884,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5198.01,0.88984,0.45728,1.07692,0.96618,0.94337,0.97501,0.71324,1.08068,0.42725,1.25174,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5288.57,0.87826,0.45888,1.07079,0.96611,0.93252,0.97087,0.72073,1.06719,0.42385,1.2601,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5409.1,0.88034,0.45747,1.0738,0.96245,0.95208,0.97399,0.73216,1.0662,0.4262,1.25543,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5500.08,0.86445,0.44631,1.06459,0.94721,0.974,0.97751,0.74042,1.05842,0.41559,1.24913,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5595.33,0.86618,0.44379,1.06348,0.94735,0.9736,0.97615,0.73877,1.07165,0.42102,1.24615,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5688.75,0.85321,0.44286,1.05962,0.96118,0.93443,0.97741,0.73429,1.0713,0.41196,1.25501,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5780.77,0.8588,0.44141,1.06118,0.96617,0.95523,0.97521,0.72858,1.05666,0.42502,1.23717,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5871.97,0.84728,0.43974,1.05707,0.95514,0.97276,0.97666,0.71622,1.07533,0.41557,1.25201,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5962.22,0.84202,0.43996,1.05483,0.95214,0.96623,0.97621,0.73773,1.06085,0.42676,1.23065,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6052.66,0.84169,0.4348,1.05467,0.95269,0.95829,0.97534,0.73874,1.06483,0.42042,1.24158,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6143.23,0.83124,0.42519,1.04779,0.96762,0.96483,0.97842,0.74481,1.04752,0.40389,1.23277,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6234.14,0.82609,0.42684,1.04763,0.97684,0.96261,0.9795,0.73413,1.04253,0.3995,1.23522,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6325.09,0.81559,0.42248,1.0429,0.95892,0.9736,0.9773,0.72669,1.05163,0.41423,1.23482,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6416.75,0.81373,0.42065,1.04124,0.95786,0.97427,0.97806,0.74067,1.05435,0.40999,1.23933,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6507.64,0.80507,0.41478,1.04167,0.94606,0.9737,0.9753,0.7315,1.05528,0.414,1.24098,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6597.87,0.80434,0.41609,1.03632,0.95898,0.97848,0.97766,0.73614,1.05828,0.41337,1.24191,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6687.82,0.80273,0.41641,1.04004,0.95908,0.96633,0.97714,0.72703,1.05745,0.41202,1.24505,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6779.07,0.79624,0.41227,1.03386,0.9657,0.97096,0.97696,0.71313,1.06471,0.41467,1.2485,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6891.63,0.79438,0.40697,1.03395,0.96212,0.97054,0.9853,0.73593,1.06245,0.41039,1.24652,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6981.97,0.78895,0.40729,1.03326,0.95428,0.98027,0.97785,0.72674,1.05619,0.40776,1.24016,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7072.17,0.77895,0.40352,1.02754,0.93929,0.96777,0.97443,0.71805,1.04531,0.41717,1.23854,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7162.9,0.77666,0.39901,1.02432,0.94983,0.96553,0.97655,0.73309,1.0473,0.41585,1.24056,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7252.63,0.77088,0.39702,1.02416,0.95001,0.96927,0.97745,0.72956,1.04921,0.41151,1.2411,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7340.94,0.77593,0.40126,1.02639,0.9723,0.97105,0.97621,0.73625,1.04274,0.41415,1.2416,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7430.13,0.76164,0.39151,1.01729,0.96603,0.97197,0.97744,0.73539,1.04133,0.40319,1.24023,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7519.43,0.76211,0.39353,1.01877,0.96701,0.97186,0.979,0.73364,1.04842,0.40854,1.23965,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7608.79,0.75286,0.38906,1.01603,0.96555,0.97247,0.97855,0.74375,1.05428,0.40949,1.24768,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7698.19,0.74808,0.38538,1.01421,0.96869,0.97079,0.97757,0.7434,1.05549,0.41123,1.24475,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7787.46,0.74501,0.38066,1.01189,0.96474,0.9739,0.97548,0.73803,1.05353,0.41152,1.24201,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,7876.96,0.73525,0.38297,1.01037,0.96939,0.97075,0.9762,0.74623,1.05965,0.41995,1.25083,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,7966,0.73293,0.37784,1.00944,0.96888,0.97107,0.97687,0.74136,1.05068,0.41208,1.24504,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,8056.09,0.72826,0.37721,1.00526,0.97378,0.97181,0.97581,0.73589,1.05447,0.41262,1.2509,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,8145.71,0.72018,0.36852,1.00383,0.96565,0.9737,0.9755,0.74489,1.05633,0.41418,1.25365,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,8236.31,0.71909,0.37079,1.00384,0.96695,0.97848,0.9747,0.74256,1.05638,0.41517,1.25891,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,8326.66,0.71737,0.37044,1.00119,0.96616,0.97848,0.97494,0.73887,1.05403,0.41673,1.25985,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,8417.59,0.7055,0.36294,0.99413,0.9667,0.97848,0.97792,0.7403,1.05425,0.4139,1.25705,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8507.85,0.70605,0.36576,0.99861,0.96768,0.97873,0.97648,0.74056,1.05184,0.40969,1.25879,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8672.02,0.64268,0.29678,0.9802,0.97382,0.97708,0.97856,0.74314,1.05155,0.40979,1.25879,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8761.25,0.62632,0.28957,0.97331,0.97207,0.97848,0.97873,0.74275,1.0534,0.40807,1.25954,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,8850.27,0.61315,0.28346,0.96333,0.97267,0.97712,0.97878,0.73607,1.05322,0.40965,1.25876,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,8944.45,0.60653,0.28127,0.96203,0.97349,0.9714,0.97855,0.73103,1.05556,0.41073,1.26395,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,9034,0.59769,0.27506,0.95519,0.97285,0.97246,0.97784,0.74073,1.05176,0.41546,1.26166,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,9123.54,0.59109,0.27248,0.95032,0.9716,0.97848,0.97713,0.74009,1.05186,0.41687,1.26267,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,9213.51,0.58356,0.27122,0.9471,0.97258,0.97349,0.97733,0.73262,1.05075,0.41948,1.26488,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,9302.96,0.57943,0.26862,0.94557,0.97215,0.97352,0.97712,0.72589,1.05069,0.41994,1.26514,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,9392.76,0.57548,0.26741,0.94313,0.972,0.97378,0.97714,0.72695,1.05055,0.42143,1.267,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,9482.04,0.56774,0.26177,0.94159,0.97271,0.97225,0.97704,0.72468,1.05076,0.4199,1.26928,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
